Time (h),Cum. Gas Inj (SCC),Cum. Gas Prod. (SCC),Cum Oil Prod. (SCC),Pressure (atm)
0,0,0,0,255.55
0.01,17.57,43.35,0,255.53
0.02,74.19,61.42,0.18,255.44
0.03,100.04,94.3,0.37,255.4
0.04,130.49,125.99,0.37,255.34
0.05,152.04,142.74,0.37,255.31
0.06,173.91,158.12,0.59,255.29
0.07,213.34,207.74,0.75,255.25
0.08,234.88,258.86,0.75,255.22
0.09,282.54,306.99,0.83,255.11
0.1,295.8,344.96,0.83,255.11
0.11,325.95,382.62,0.97,255.06
0.12,343.51,398.61,0.97,255.04
0.13,391.53,450.18,1.05,254.97
0.14,417.37,484.71,1.05,254.93
0.15,439.23,513.85,1.21,254.91
0.16,474,540.75,1.21,254.84
0.17,482.63,567.66,1.29,254.85
0.18,504.83,627.29,1.41,254.86
0.19,517.77,657.19,1.41,254.86
0.2,539.62,675.72,1.47,254.84
0.21,565.77,694.7,1.47,254.8
0.22,574.41,727.74,1.59,254.81
0.23,626.71,753.74,1.59,254.73
0.24,639.95,709.49,1.63,254.73
0.25,639.99,673.17,1.63,254.77
0.26,666.13,648.05,1.66,254.73
0.27,666.17,653.28,1.66,254.77
0.28,703.98,675.4,1.79,254.73
0.29,724.76,680.78,1.81,254.69
0.3,728.35,702.31,1.81,254.7
0.31,749.13,707.09,1.84,254.66
0.32,748.41,705,1.84,254.69
0.33,768.48,729.06,1.91,254.67
0.34,776.36,736.98,1.91,254.67
0.35,779.95,753.72,1.93,254.69
0.36,787.83,762.99,1.93,254.69
0.37,804.31,763.74,1.96,254.66
0.38,828.67,779.43,1.96,254.63
0.39,845.14,779.58,1.96,254.61
0.4,844.43,797.97,1.98,254.63
0.41,852.32,795.43,1.98,254.63
0.42,873.09,804.1,1.98,254.59
0.43,880.26,825.02,2,254.62
0.44,909.62,836.38,2.02,254.55
0.45,917.5,841.61,2.02,254.55
0.46,908.2,841.31,2.03,254.61
0.47,933.26,844,2.03,254.55
0.48,931.84,845.5,2.04,254.61
0.49,935.43,846.99,2.04,254.62
0.5,930.44,829.8,2.04,254.66
0.51,946.91,820.23,2.04,254.63
0.52,954.79,819.79,2.03,254.63
0.53,953.71,821.73,2.05,254.69
0.54,965.88,820.09,2.05,254.67
0.55,965.19,825.32,2.07,254.7
0.56,985.62,819.34,2.07,254.66
0.57,989.53,825.47,2.14,254.67
0.58,988.15,828.75,2.16,254.73
0.59,996.04,837.42,2.16,254.73
0.6,999.64,834.58,2.17,254.74
0.61,998.95,837.72,2.17,254.77
0.62,1002.55,838.17,2.17,254.78
0.63,1022.61,843.85,2.18,254.77
0.64,1034.78,842.66,2.15,254.76
0.65,1029.82,848.49,2.15,254.8
0.66,1033.42,851.18,2.19,254.81
0.67,1019.91,853.57,2.19,254.88
0.68,1039.97,845.64,2.21,254.86
0.69,1052.13,858.5,2.24,254.85
0.7,1042.91,861.04,2.24,254.91
0.71,1046.53,849.83,2.24,254.92
0.72,1067.24,855.51,2.22,254.88
0.73,1083.02,856.26,2.2,254.88
0.74,1086.63,860.44,2.2,254.89
0.75,1077.43,857.9,2.24,254.95
0.76,1085.32,861.19,2.24,254.95
0.77,1088.93,863.73,2.24,254.96
0.78,1104.71,864.33,2.23,254.96
0.79,1108.33,866.87,2.23,254.97
0.8,1107.68,866.27,2.23,255
0.81,1102.77,866.27,2.23,255.04
0.82,1110.66,869.56,2.23,255.04
0.83,1122.18,871.65,2.25,255.06
0.84,1134.34,874.49,2.3,255.04
0.85,1133.7,877.48,2.3,255.07
0.86,1137.33,872.1,2.24,255.08
0.87,1145.22,877.03,2.24,255.08
0.88,1148.22,885.4,2.29,255.12
0.89,1160.37,883.31,2.29,255.11
0.9,1164.01,885.85,2.29,255.12
0.91,1167.64,885.4,2.29,255.14
0.92,1171.27,880.47,2.22,255.15
0.93,1191.32,897.36,2.26,255.14
0.94,1195.27,896.17,2.26,255.15
0.95,1198.59,899.31,2.25,255.16
0.96,1206.81,896.91,2.25,255.16
0.97,1214.39,904.39,2.29,255.16
0.98,1217.4,899.31,2.29,255.21
0.99,1229.56,906.78,2.3,255.19
1,1233.51,904.84,2.3,255.21
1.01,1241.41,904.54,2.29,255.21
1.02,1236.54,904.84,2.29,255.25
1.03,1265.1,907.53,2.28,255.21
1.04,1251.73,914.4,2.28,255.27
1.05,1255.37,915,2.28,255.29
1.06,1279.97,915.15,2.28,255.23
1.07,1279.36,922.77,2.29,255.26
1.08,1282.4,917.84,2.3,255.3
1.09,1303.05,915.45,2.3,255.26
1.1,1298.2,925.61,2.33,255.3
1.11,1297.6,918.14,2.33,255.33
1.12,1314,923.52,2.32,255.3
1.13,1334.04,929.35,2.31,255.29
1.14,1329.2,923.07,2.31,255.33
1.15,1341.35,928.6,2.27,255.31
1.16,1349.25,925.91,2.27,255.31
1.17,1352.9,934.28,2.27,255.33
1.18,1364.45,948.18,2.31,255.34
1.19,1368.11,945.34,2.32,255.36
1.2,1380.25,936.67,2.32,255.34
1.21,1371.18,942.06,2.31,255.4
1.22,1391.81,945.34,2.31,255.36
1.23,1403.37,953.71,2.31,255.37
1.24,1411.27,950.87,2.34,255.37
1.25,1423.41,956.7,2.34,255.36
1.26,1427.07,956.7,2.34,255.37
1.27,1430.73,955.96,2.34,255.38
1.28,1438.05,953.56,2.34,255.41
1.29,1445.95,959.1,2.34,255.41
1.3,1449.62,972.4,2.34,255.42
1.31,1453.28,969.71,2.34,255.44
1.32,1473.9,977.93,2.34,255.4
1.33,1485.46,970.01,2.32,255.41
1.34,1497.91,967.02,2.32,255.4
1.35,1493.11,980.02,2.32,255.44
1.36,1496.77,977.18,2.34,255.45
1.37,1504.68,969.11,2.34,255.45
1.38,1516.25,980.17,2.37,255.46
1.39,1532.62,985.4,2.36,255.44
1.4,1519.36,980.17,2.36,255.51
1.41,1527.26,990.64,2.35,255.51
1.42,1539.4,991.08,2.35,255.49
1.43,1563.67,988.84,2.35,255.46
1.44,1567.34,992.13,2.35,255.48
1.45,1566.78,991.98,2.4,255.51
1.46,1574.68,990.78,2.4,255.51
1.47,1582.59,997.06,2.34,255.51
1.48,1585.71,1001.25,2.37,255.55
1.49,1602.07,1001.25,2.37,255.52
1.5,1609.98,995.72,2.36,255.52
1.51,1617.88,1000.95,2.36,255.52
1.52,1604.66,1001.1,2.35,255.59
1.53,1620.47,1013.51,2.35,255.59
1.54,1632.6,1005.14,2.37,255.57
1.55,1627.83,1007.68,2.37,255.61
1.56,1635.74,1002.45,2.36,255.61
1.57,1643.65,998.11,2.36,255.61
1.58,1659.46,1005.58,2.3,255.61
1.59,1663.15,1004.99,2.35,255.63
1.6,1671.05,1002.89,2.35,255.63
1.61,1674.74,1007.98,2.41,255.64
1.62,1678.43,1014.55,2.41,255.66
1.63,1694.24,1012.01,2.4,255.66
1.64,1689.81,1022.62,2.4,255.7
1.65,1684.76,1022.47,2.39,255.74
1.66,1705.63,1027.71,2.39,255.7
1.67,1696.68,1019.34,2.42,255.75
1.68,1708.8,1016.94,2.42,255.74
1.69,1711.98,1017.24,2.41,255.78
1.7,1724.11,1027.56,2.38,255.76
1.71,1732.02,1021.58,2.38,255.76
1.72,1731.5,1024.42,2.38,255.79
1.73,1747.52,1021.43,2.41,255.76
1.74,1755.24,1029.95,2.46,255.79
1.75,1763.15,1028.45,2.46,255.79
1.76,1762.64,1034.28,2.46,255.82
1.77,1766.34,1036.97,2.46,255.83
1.78,1778.46,1037.27,2.4,255.82
1.79,1785.87,1054.01,2.43,255.85
