Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
0.000,0.000,0.000,0.000,0.000,0.000,296.311
0.013,0.163,0.047,0.669,0.000,3.575,296.311
0.030,0.374,-0.202,0.509,0.000,56.659,296.311
0.046,0.583,0.286,0.360,0.000,36.351,296.311
0.063,0.793,-0.392,0.997,0.000,68.742,296.352
0.080,1.002,0.047,0.549,0.000,112.838,296.230
0.096,1.213,-0.322,1.366,0.000,102.855,296.393
0.113,1.419,0.126,1.157,0.000,124.464,296.433
0.130,1.630,0.096,1.118,0.000,135.866,296.311
0.146,1.839,-0.073,2.025,0.000,113.120,296.311
0.163,2.049,-0.143,2.504,0.000,154.928,296.311
0.180,2.259,-0.192,2.254,0.000,185.348,296.352
0.196,2.469,-0.282,2.583,0.000,188.581,296.311
0.213,2.679,-0.402,2.583,0.000,234.966,296.311
0.230,2.888,-0.362,2.154,0.000,250.451,296.230
0.246,3.096,-0.362,2.154,0.000,271.304,296.230
0.263,3.305,0.126,2.564,0.000,257.078,296.311
0.280,3.515,-0.093,2.813,0.000,310.152,296.352
0.296,3.724,-0.312,2.803,0.000,339.328,296.311
0.313,3.934,-0.013,3.132,0.000,335.468,296.352
0.330,4.144,-0.003,2.923,0.000,354.337,296.352
0.346,4.354,-0.202,4.129,0.000,360.887,296.270
0.363,4.564,-0.143,3.880,0.000,400.550,296.352
0.380,4.774,-0.023,3.451,0.000,422.287,296.352
0.396,4.983,0.037,3.760,0.000,409.941,296.311
0.413,5.192,-0.392,4.458,0.000,412.465,296.393
0.430,5.403,0.086,3.581,0.000,478.318,296.230
0.446,5.612,-0.252,4.618,0.000,462.972,296.433
0.463,5.823,-0.003,4.588,0.000,492.055,296.474
0.480,6.029,-0.003,4.588,0.000,529.410,296.393
0.496,6.239,-0.053,4.518,0.000,536.659,296.352
0.513,6.448,-0.113,5.146,0.000,532.648,296.352
0.530,6.658,-0.232,5.222,0.000,569.629,296.311
0.546,6.868,-0.023,5.212,0.000,626.119,296.393
0.563,7.078,0.166,5.406,0.000,606.730,296.311
0.580,7.287,-0.232,5.525,0.000,607.933,296.433
0.596,7.496,-0.163,5.745,0.000,644.970,296.433
0.613,7.707,-0.212,6.273,0.000,640.810,296.311
0.630,7.916,-0.013,6.493,0.000,636.523,296.311
0.646,8.127,-0.412,6.552,0.000,687.951,296.433
0.663,8.336,-0.103,6.303,0.000,681.305,296.230
0.680,8.546,-0.252,7.041,0.000,740.697,296.270
0.696,8.756,-0.282,6.988,0.000,731.360,296.311
0.713,8.963,-0.382,6.702,0.000,776.909,296.270
0.730,9.172,-0.262,7.799,0.000,762.952,296.352
0.746,9.382,-0.262,7.799,0.000,791.025,296.352
0.763,9.591,-0.103,7.350,0.000,840.308,296.311
0.780,9.802,-0.242,7.500,0.000,820.387,296.433
0.796,10.011,-0.192,7.929,0.000,832.742,296.352
0.813,10.221,-0.153,7.769,0.000,870.102,296.352
0.830,10.431,-0.173,8.278,0.000,892.111,296.393
0.846,10.642,-0.143,8.281,0.000,891.960,296.433
0.863,10.851,0.017,8.457,0.000,871.051,296.515
0.880,11.060,0.047,8.238,0.000,923.744,296.230
0.896,11.270,-0.053,8.667,0.000,962.442,296.433
0.913,11.479,-0.202,9.195,0.000,993.173,296.311
0.930,11.689,0.126,8.448,0.000,1001.358,296.352
0.946,11.899,-0.003,8.926,0.000,1066.608,296.433
0.963,12.106,-0.133,9.664,0.000,1021.244,296.352
0.980,12.315,-0.222,9.594,0.000,1065.545,296.270
0.996,12.525,-0.222,9.594,0.000,1066.997,296.393
1.013,12.735,-0.222,9.983,0.000,1097.683,296.433
1.030,12.945,0.236,9.644,0.000,1084.071,296.393
1.046,13.154,-0.043,9.993,0.000,1132.664,296.352
1.063,13.365,-0.163,10.173,0.000,1170.313,296.474
1.080,13.574,-0.103,10.512,0.000,1166.428,296.311
1.096,13.784,-0.402,11.269,0.000,1173.055,296.393
1.113,13.994,-0.173,11.110,0.000,1185.818,296.433
1.130,14.203,-0.292,11.100,0.000,1216.928,296.311
1.146,14.413,-0.332,11.499,0.000,1245.316,296.393
1.163,14.619,-0.352,11.618,0.000,1221.640,296.270
1.180,14.830,-0.153,11.258,0.000,1251.397,296.311
1.196,15.039,0.067,10.991,0.000,1299.068,296.352
1.213,15.250,-0.242,11.469,0.000,1305.224,296.108
1.230,15.459,-0.322,12.043,0.000,1323.686,296.311
1.246,15.669,-0.322,12.043,0.000,1317.858,296.352
1.263,15.879,-0.432,12.516,0.000,1342.386,296.148
1.280,16.090,-0.242,12.416,0.000,1365.744,296.433
1.296,16.299,-0.501,12.566,0.000,1359.424,296.474
1.313,16.509,-0.561,13.334,0.000,1402.179,296.311
1.330,16.718,-0.083,12.556,0.000,1423.871,296.433
1.346,16.924,-0.282,13.336,0.000,1442.571,296.393
1.363,17.134,-0.212,13.693,0.000,1451.277,296.270
1.380,17.344,-0.173,13.912,0.000,1442.447,296.433
1.396,17.554,-0.013,13.803,0.000,1469.280,296.311
1.413,17.763,-0.362,14.032,0.000,1507.106,296.433
1.430,17.974,-0.372,14.102,0.000,1514.083,296.352
1.446,18.184,-0.222,13.733,0.000,1529.157,296.352
1.463,18.394,-0.202,14.491,0.000,1548.377,296.352
1.480,18.603,-0.063,13.952,0.000,1574.841,296.352
1.496,18.814,-0.093,14.152,0.000,1609.897,296.270
1.513,19.022,-0.093,14.152,0.000,1616.739,296.230
1.530,19.233,-0.292,14.820,0.000,1630.573,296.352
1.546,19.442,-0.043,14.526,0.000,1641.874,296.311
