CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
0.0000,530.6367,698.3022,529.9648,142.1700,0.0000,0.0000,252.0563
0.0167,530.6533,698.3022,529.9448,142.1700,0.0356,0.0000,252.0290
0.0333,530.6700,698.3022,530.2648,142.1700,0.0702,0.0000,252.0290
0.0500,530.6867,698.3022,530.1748,142.1700,0.1047,0.0000,252.0700
0.0667,530.7033,698.3022,530.0648,142.1700,0.1393,0.0000,252.0700
0.0833,530.7200,698.3022,530.3348,142.1700,0.1749,0.0000,252.0700
0.1000,530.7367,698.3022,530.1048,142.1700,0.2095,0.0000,252.0836
0.1167,530.7533,698.3022,530.5248,142.1700,0.2451,0.0000,252.0836
0.1333,530.7700,698.3022,530.1448,142.1700,0.2797,0.0000,252.0972
0.1500,530.7867,698.3022,530.0248,142.1700,0.3142,0.0000,252.1654
0.1667,530.8033,698.3022,529.9248,142.1700,0.3499,0.0000,252.1245
0.1833,530.8200,698.3022,530.3348,142.1700,0.3844,0.0000,252.1927
0.2000,530.8367,698.3022,530.1548,142.1700,0.4200,0.0000,252.2200
0.2167,530.8533,698.3022,530.1748,142.1700,0.4546,0.0000,252.2336
0.2333,530.8700,698.3022,530.1548,142.1700,0.4892,0.0000,252.2063
0.2500,530.8867,698.3022,530.1048,142.1700,0.5237,0.0000,252.1927
0.2667,530.9033,698.3022,530.2348,142.1700,0.5593,0.0000,252.2609
0.2833,530.9200,698.3022,530.3448,142.1700,0.5939,0.0000,252.2472
0.3000,530.9367,698.3022,530.2548,142.1700,0.6285,0.0000,252.2609
0.3167,530.9533,698.3022,530.0448,142.1700,0.6641,0.0000,252.3154
0.3333,530.9700,698.3022,530.2348,142.1700,0.6987,0.0000,252.3290
0.3500,530.9867,698.3022,530.2048,142.1700,0.7332,0.0000,252.3836
0.3667,531.0033,698.3022,530.2148,142.1700,0.7688,0.0000,252.3699
0.3833,531.0200,698.3022,529.8248,142.1700,0.8034,0.0000,252.3836
0.4000,531.0367,698.3022,530.1448,142.1700,0.8380,0.0000,252.3427
0.4167,531.0533,698.3022,530.3348,142.1700,0.8725,0.0000,252.3563
0.4333,531.0700,698.3022,530.1348,142.1700,0.9082,0.0000,252.4245
0.4500,531.0867,698.3022,530.2948,142.1700,0.9438,0.0000,252.4245
0.4667,531.1033,698.3022,530.2648,142.1700,0.9783,0.0000,252.4245
0.4833,531.1200,698.3022,530.2748,142.1700,1.0129,0.0000,252.4790
0.5000,531.1367,698.3022,530.2448,142.1700,1.0475,0.0000,252.4245
0.5167,531.1533,698.3022,530.3648,142.1700,1.0831,0.0000,252.4518
0.5333,531.1700,698.3022,530.3048,142.1700,1.1177,0.0000,252.5063
0.5500,531.1867,698.3022,530.2348,142.1700,1.1533,0.0000,252.5199
0.5667,531.2033,698.3022,530.1148,142.1700,1.1878,0.0000,252.5199
0.5833,531.2200,698.3022,530.1048,142.1700,1.2224,0.0000,252.5472
0.6000,531.2367,698.3022,530.2348,142.1700,1.2570,0.0000,252.5336
0.6167,531.2533,698.3022,530.2848,142.1700,1.2926,0.0000,252.5472
0.6333,531.2700,698.3022,530.1048,142.1700,1.3271,0.0000,252.5336
0.6500,531.2867,698.3022,530.4548,142.1700,1.3628,0.0000,252.4790
0.6667,531.3033,698.3022,530.5848,142.1700,1.3973,0.0000,252.4245
0.6833,531.3200,698.3022,530.3448,142.1700,1.4319,0.0000,252.3836
0.7000,531.3367,698.3022,530.5448,142.1700,1.4675,0.0000,252.3427
0.7167,531.3533,698.3022,530.7548,142.1700,1.5021,0.0000,252.3018
0.7333,531.3700,698.3022,530.5348,142.1700,1.5366,0.0000,252.3154
0.7500,531.3867,698.3022,530.9248,142.1700,1.5712,0.0000,252.2472
0.7667,531.4033,698.3022,530.8248,142.1700,1.6068,0.0000,252.2336
0.7833,531.4200,698.3022,530.8348,142.1700,1.6414,0.0000,252.2472
0.8000,531.4367,698.3022,531.2848,142.1700,1.6770,0.0000,252.2336
0.8167,531.4533,698.3022,531.3148,142.1700,1.7116,0.0000,252.1654
0.8333,531.4700,698.3022,531.4048,142.1700,1.7461,0.0000,252.1654
0.8500,531.4867,698.3022,531.3448,142.1700,1.7807,0.0000,252.1245
0.8667,531.5033,698.3022,531.2448,142.1700,1.8163,0.0000,252.1790
0.8833,531.5200,698.3022,531.2248,142.1700,1.8509,0.0000,252.0700
0.9000,531.5367,698.3022,531.3648,142.1700,1.8865,0.0000,252.0563
0.9167,531.5533,698.3022,531.7048,142.1700,1.9211,0.0000,252.0563
0.9333,531.5700,698.3022,531.5848,142.1700,1.9556,0.0000,252.0290
0.9503,531.5869,698.3022,531.7748,142.1700,1.9902,0.0000,252.0018
0.9669,531.6036,698.3022,531.7448,142.1700,2.0258,0.0000,251.9881
0.9836,531.6203,698.3022,531.8048,142.1700,2.0614,0.0000,251.9336
1.0003,531.6369,698.3022,531.9248,142.1700,2.0960,0.0000,251.9336
1.0169,531.6536,698.3022,531.8448,142.1700,2.1306,0.0000,251.9200
1.0336,531.6703,698.3022,532.2548,142.1700,2.1651,0.0000,251.8927
1.0503,531.6869,698.3022,532.2448,142.1700,2.2007,0.0000,251.8791
