Time,Cum. Inj Water ,Cum. Prod Water ,Cum Oil prod.  ,Cum. Inj CO2,Cum. Prod CO2,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
0.000,0.000,0.000,0.000,0.000,0,260.3833848
0.017,0.035,-0.281,0.306,0.000,0,260.3833848
0.033,0.069,0.137,-0.118,0.000,0,260.3419443
0.050,0.104,-1.294,1.375,0.000,0,260.3833848
0.067,0.139,-5.247,5.404,0.000,0,260.3419443
0.083,0.174,0.098,0.038,0.000,0,260.3419443
0.100,0.209,0.098,0.038,0.000,0,260.2590632
0.117,0.244,-0.361,0.566,0.000,0,260.3419443
0.133,0.279,-0.282,0.548,0.000,0,260.3005038
0.150,0.313,-0.009,0.312,0.000,0,260.3005038
0.167,0.349,-0.331,0.658,0.000,0,260.3005038
0.183,0.384,-0.170,0.558,0.000,0,260.2590632
0.200,0.419,-0.345,0.713,0.000,0,260.2176225
0.217,0.454,-0.018,0.383,0.000,0,260.2176225
0.233,0.488,0.016,0.440,0.000,0,260.2176225
0.250,0.524,0.365,0.132,0.000,0,260.2176225
0.267,0.558,-0.848,1.332,0.000,0,260.2176225
0.283,0.594,-25.813,26.377,0.000,0,260.1761817
0.300,0.628,-0.546,1.192,0.000,0,260.1761817
0.317,0.663,0.071,0.529,0.000,0,260.2176225
0.333,0.698,0.196,0.469,0.000,0,260.1761817
0.350,0.733,-0.876,1.571,0.000,0,260.2176225
0.367,0.768,-0.463,1.244,0.000,0,260.1761817
0.383,0.803,-0.573,1.264,0.000,0,260.2176225
0.400,0.838,-0.319,1.123,0.000,0,260.1761817
0.417,0.873,-0.485,1.319,0.000,0,260.2590632
0.433,0.907,-0.051,0.962,0.000,0,260.3005038
0.450,0.943,-0.450,1.330,0.000,0,260.3419443
0.467,0.977,-0.578,1.473,0.000,0,260.3419443
0.483,1.013,-0.261,1.229,0.000,0,260.3419443
0.500,1.047,-0.152,1.167,0.000,0,260.3833848
0.517,1.082,-0.265,1.285,0.000,0,260.4248252
0.533,1.117,-0.394,1.439,0.000,0,260.4248252
0.550,1.152,0.211,0.858,0.000,0,260.4248252
0.567,1.187,-0.441,1.550,0.000,0,260.4248252
0.583,1.221,0.112,1.024,0.000,0,260.4662654
0.600,1.257,0.041,1.137,0.000,0,260.4248252
0.617,1.292,-0.293,1.538,0.000,0,260.4248252
0.633,1.327,-0.640,1.890,0.000,0,260.5077056
0.650,1.362,-0.606,1.866,0.000,0,260.4662654
0.667,1.396,-0.194,1.550,0.000,0,260.4662654
0.683,1.431,-0.275,1.558,0.000,0,260.5491458
