CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
0.0000,1374.2633,2812.3138,2624.5834,85.6149,0.0000,0.0000,256.9134
0.0165,1374.2797,2812.3138,2625.1801,85.1705,0.0352,0.0119,256.8191
0.0331,1374.2964,2812.3138,2625.3029,85.2077,0.0698,-0.0022,256.7372
0.0498,1374.3130,2812.3138,2625.4099,85.3107,0.1054,0.0526,256.6553
0.0665,1374.3297,2812.3138,2625.6929,85.2205,0.1400,0.0423,256.6143
0.0831,1374.3464,2812.3138,2625.6773,85.4319,0.1745,0.0166,256.5734
0.0998,1374.3630,2812.3138,2626.1186,85.0719,0.2091,0.0092,256.5734
0.1165,1374.3797,2812.3138,2626.1044,85.2605,0.2437,0.0332,256.6143
0.1331,1374.3964,2812.3138,2626.3529,85.0477,0.2793,0.0176,256.6143
0.1498,1374.4130,2812.3138,2626.3425,85.0495,0.3139,0.0196,256.6143
0.1665,1374.4297,2812.3138,2626.4458,85.0077,0.3485,0.0112,256.6143
0.1831,1374.4464,2812.3138,2626.2529,85.2648,0.3841,0.0047,256.6143
0.1998,1374.4630,2812.3138,2626.4344,85.1291,0.4187,0.0169,256.6143
0.2165,1374.4797,2812.3138,2626.7958,84.6948,0.4532,0.0072,256.6143
0.2331,1374.4964,2812.3138,2626.3869,85.1551,0.4889,0.0154,256.6143
0.2498,1374.5130,2812.3138,2626.5815,85.1005,0.5234,0.0032,256.6143
0.2665,1374.5297,2812.3138,2626.5201,85.1562,0.5591,-0.0010,256.6553
0.2831,1374.5464,2812.3138,2626.6986,84.9391,0.5936,-0.0089,256.6143
0.2998,1374.5630,2812.3138,2626.5901,85.0819,0.6282,-0.0002,256.6143
0.3165,1374.5797,2812.3138,2626.8529,84.8448,0.6638,0.0058,256.6553
0.3331,1374.5964,2812.3138,2626.3544,85.3905,0.6984,0.0060,256.6553
0.3498,1374.6130,2812.3138,2626.3544,85.3905,0.7340,0.0106,256.6143
0.3665,1374.6297,2812.3138,2626.6472,85.1662,0.7686,0.0184,256.6553
0.3831,1374.6464,2812.3138,2627.1058,84.7291,0.8032,0.0217,256.6143
0.3998,1374.6630,2812.3138,2626.9615,84.9419,0.8378,0.0103,256.6143
0.4165,1374.6797,2812.3138,2626.4558,85.4777,0.8723,0.0047,256.6143
0.4331,1374.6964,2812.3138,2626.6044,85.3219,0.9080,0.0175,256.6143
0.4498,1374.7130,2812.3138,2626.4429,85.4791,0.9425,0.0083,256.6143
0.4665,1374.7297,2812.3138,2626.8444,85.1262,0.9782,0.0204,256.5734
0.4831,1374.7464,2812.3138,2626.9301,85.0534,1.0127,0.0003,256.5734
0.4998,1374.7630,2812.3138,2627.0337,84.9426,1.0473,0.0019,256.5734
0.5165,1374.7797,2812.3138,2627.1701,84.8219,1.0829,0.0249,256.5734
0.5331,1374.7964,2812.3138,2627.0929,84.9591,1.1175,0.0189,256.5734
0.5498,1374.8130,2812.3138,2627.1672,84.8605,1.1521,0.0190,256.5734
0.5665,1374.8297,2812.3138,2627.1601,84.9048,1.1877,0.0030,256.5734
0.5831,1374.8464,2812.3138,2626.9729,85.1505,1.2223,0.0154,256.5324
0.5998,1374.8630,2812.3138,2627.2401,84.8848,1.2569,0.0008,256.5324
0.6165,1374.8797,2812.3138,2627.0886,85.0277,1.2925,0.0178,256.5734
0.6331,1374.8964,2812.3138,2627.1901,84.9848,1.3271,0.0098,256.5734
0.6498,1374.9130,2812.3138,2627.2329,84.9819,1.3616,0.0016,256.5324
0.6665,1374.9297,2812.3138,2627.2329,85.0305,1.3973,0.0010,256.5734
0.6831,1374.9464,2812.3138,2627.2166,85.0882,1.4318,0.0058,256.4915
0.6998,1374.9630,2812.3138,2627.2558,85.0748,1.4664,0.0137,256.5324
0.7165,1374.9797,2812.3138,2627.1357,85.2077,1.5010,0.0210,256.5324
0.7331,1374.9964,2812.3138,2627.1357,85.2077,1.5366,0.0233,256.5324
0.7498,1375.0130,2812.3138,2627.4615,84.9219,1.5712,0.0135,256.5324
0.7665,1375.0297,2812.3138,2627.4381,84.9254,1.6058,0.0036,256.5324
0.7831,1375.0464,2812.3138,2627.1386,85.2848,1.6414,0.0337,256.5324
0.7998,1375.0630,2812.3138,2626.9886,85.4848,1.6760,0.0277,256.5324
0.8165,1375.0797,2812.3138,2627.5201,84.9477,1.7116,0.0012,256.5324
0.8331,1375.0964,2812.3138,2627.6972,84.7919,1.7462,0.0184,256.4915
0.8498,1375.1130,2812.3138,2627.5810,84.9653,1.7807,0.0212,256.4915
0.8665,1375.1297,2812.3138,2627.6058,84.9862,1.8164,0.0252,256.4915
0.8831,1375.1464,2812.3138,2627.7101,84.8962,1.8509,0.0160,256.4915
0.8979,1375.1612,2812.3138,2627.8234,84.8058,1.8816,0.0036,256.4915
0.8998,1375.1630,2812.3138,2627.8377,84.7943,1.8855,0.0020,256.4915
0.9165,1375.1797,2812.3138,2627.7672,84.9005,1.9211,0.0172,256.4915
0.9331,1375.1964,2812.3138,2627.9644,84.8048,1.9557,0.0079,256.4915
0.9498,1375.2130,2812.3138,2627.8086,84.9062,1.9913,0.0178,256.4915
0.9665,1375.2297,2812.3138,2627.7572,85.0534,2.0259,0.0066,256.4915
0.9831,1375.2464,2812.3138,2627.9086,84.9191,2.0605,0.0219,256.4915
0.9998,1375.2630,2812.3138,2627.8358,84.9762,2.0951,0.0288,256.4915
1.0165,1375.2797,2812.3138,2627.9228,84.9192,2.1296,0.0207,256.4915
1.0331,1375.2964,2812.3138,2627.9944,84.9076,2.1653,0.0050,256.4915
1.0498,1375.3130,2812.3138,2628.1429,84.8077,2.1998,0.0044,256.4915
1.0665,1375.3297,2812.3138,2628.0744,84.8748,2.2355,0.0213,256.4915
1.0831,1375.3464,2812.3138,2627.9901,84.9848,2.2700,0.0231,256.4915
1.0998,1375.3630,2812.3138,2627.9901,84.9848,2.3046,0.0266,256.4915
1.1165,1375.3797,2812.3138,2627.9972,85.0334,2.3402,0.0114,256.4915
1.1331,1375.3964,2812.3138,2628.3251,84.6869,2.3748,0.0130,256.4915
1.1498,1375.4130,2812.3138,2628.2640,84.8765,2.4104,0.0204,256.4915
1.1665,1375.4297,2812.3138,2628.1815,84.9277,2.4450,0.0052,256.4915
1.1831,1375.4464,2812.3138,2628.1244,85.0048,2.4796,0.0116,256.4915
1.1998,1375.4630,2812.3138,2628.1415,84.9762,2.5142,0.0332,256.4915
1.2165,1375.4797,2812.3138,2628.0183,85.1594,2.5488,0.0211,256.4915
1.2331,1375.4964,2812.3138,2628.3573,84.8304,2.5844,0.0130,256.4915
1.2498,1375.5130,2812.3138,2628.4715,84.7448,2.6190,0.0124,256.5324
1.2665,1375.5297,2812.3138,2628.2915,84.9877,2.6535,0.0129,256.4915
1.2831,1375.5464,2812.3138,2628.2344,85.0319,2.6892,0.0195,256.5324
1.2998,1375.5630,2812.3138,2628.4957,84.8649,2.7237,0.0198,256.4915
1.3165,1375.5797,2812.3138,2628.4974,84.8532,2.7594,0.0180,256.4915
1.3331,1375.5964,2812.3138,2628.5716,84.7919,2.7939,0.0229,256.4915
1.3498,1375.6130,2812.3138,2628.3758,85.0205,2.8285,-0.0068,256.5324
1.3665,1375.6297,2812.3138,2628.6126,84.7908,2.8641,0.0193,256.4915
1.3831,1375.6464,2812.3138,2628.5944,84.8048,2.8987,0.0323,256.5324
1.3998,1375.6630,2812.3138,2628.5539,84.9781,2.9333,0.0191,256.4915
1.4165,1375.6797,2812.3138,2628.2701,85.1748,2.9689,0.0137,256.5324
1.4331,1375.6964,2812.3138,2628.7286,84.7962,3.0035,0.0160,256.4915
1.4498,1375.7130,2812.3138,2628.3756,85.1522,3.0381,0.0286,256.5324
1.4665,1375.7297,2812.3138,2628.3756,85.1522,3.0726,0.0255,256.4915
1.4831,1375.7464,2812.3138,2628.4019,85.1930,3.1083,0.0211,256.4915
1.4998,1375.7630,2812.3138,2628.3986,85.1462,3.1428,0.0252,256.5324
1.5165,1375.7797,2812.3138,2628.6972,84.9919,3.1774,-0.0050,256.5324
1.5331,1375.7964,2812.3138,2628.8486,84.8234,3.2130,0.0077,256.5324
1.5498,1375.8130,2812.3138,2628.9301,84.7305,3.2476,0.0032,256.5734
1.5665,1375.8297,2812.3138,2628.7629,84.9334,3.2822,0.0107,256.5324
1.5831,1375.8464,2812.3138,2628.7315,84.9619,3.3178,0.0295,256.5324
1.5998,1375.8630,2812.3138,2628.9046,84.8089,3.3524,0.0137,256.5324
